,name,breed,gender,age,size,province,can_travel,urgent_adoption,needs_vet_care,is_vaccinated,is_dewormed,is_healthy,is_sterilized,is_identified,has_microchip,has_passport,good_with_children,good_with_cats,good_with_dogs,is_affectionate,is_hyperactive,is_fearful,is_sociable,is_calm,is_sedentary,description_1,description_2,img_url,info_url
1001,TIRILLAS,Pitbull,Macho,6.0,Grande,Toledo,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,"A este bombón le encontramos junto a sus tres mejores amigos, otros tres desgraciados perros. Toda una vida esperando a que alguien le fuese a alimentar. Así les encontramos, famélicos en una casa abandonada. Estaban físicamente destrozados, delgados y con muchas marcas. Por suerte nuestro Tirillas ya está preparado para encontrar un hogar definitivo. No puede ser más salao y guapo. Le encanta retozar al sol en la arena, y juguetear con nosotros para llamar nuestra atención al máximo. Siempre viene moviendo la colita esperando su turno para pasear. Y es muy tierno y cariñoso con las personas. Con los perros es algo intenso aún. De vez en cuando crea trifulcas, y necesita aprender a comunicarse con los machos más vacilones y activos. Por lo demás es un perrazo con ganas infinitas de seguir adelante. Si ya te has enamorado de su carita, espérate a verle en persona… ¡Volverás a casa con otro miembro en la familia! ❤️Para ADOPCIÓN rellena el formulario: https://goo.gl/forms/CzmkbzfE6HrFQXsR2 🏠Para ACOGIDA: https://goo.gl/forms/eAmOvkdw2JPo3JAt2 🧔🏻🐶Para APADRINAR: https://goo.gl/forms/wIwXNmLOe3iogggT2 ℹ️Para más INFO: adoptaysalvaunavida.org doghorsecity.org",,https://www.kiwoko.com/servicios/kiwokoadopta/images/profiles/pets/395f5e64-89b5-4f86-97aa-32fd37a933a9-6644c0563414e503695390.jpeg,https://www.kiwoko.com/servicios/kiwokoadopta/animal/perfil/toledo/perro/macho/tirillas+/1001
1002,LEÓNIDAS,Mestizo,Macho,5.0,Grande,Toledo,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,"Leónidas te rescatamos de un síndrome de Noe y la forma que tienes de intentar escapar, tu mirada desconcertada y tu desconfianza habla de lo duro que tuvo que haber sido para ti y tus compañeros peludos vivir esa situación. Sin embargo, como tu nombre indica, eres todo un guerrero que quiere vivir a cuerpo de rey. Solo quieres ser comprendido y mimado, pero sobre todo necesitas una rutina. Buscas a alguien que te sirva de faro, que te alumbre el camino, que te enseñe con respeto. Alguien a quien acudir cuando no sepas gestionar. Eres joven y aprendes rápido, tu nueva familia tiene que ser creativa, ir siempre un paso por delante de ti y saber decirte que no también. Las tres claves para tu felicidad son la paciencia, el respeto mutuo y la experiencia. ❤️Para ADOPCIÓN rellena el formulario: https://goo.gl/forms/CzmkbzfE6HrFQXsR2 🏠Para ACOGIDA: https://goo.gl/forms/eAmOvkdw2JPo3JAt2 🧔🏻🐶Para APADRINAR: https://goo.gl/forms/wIwXNmLOe3iogggT2 ℹ️Para más INFO: adoptaysalvaunavida.org doghorsecity.org",,https://www.kiwoko.com/servicios/kiwokoadopta/images/profiles/pets/d6dd8898-81e4-4212-9657-758c42d13d65-6644c21a59183060389552.jpeg,https://www.kiwoko.com/servicios/kiwokoadopta/animal/perfil/toledo/perro/macho/le%C3%B3nidas+/1002
10026,Rex y Chapi,Mestizo y bodeguero,Macho,5.0,Pequeño,Sevilla,True,False,False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,"REX Y CHAPI 💜 La historia de estos dos bombones, es la historia de millones de animales que viven prácticamente abandonados, donde su tarea es cuidar de un campo, con un cubo agua y un poco de pan que les llevan de vez en cuando y sobreviviendo como pueden 😔. Ellos llevan toda la vida viviendo juntos y así es como queremos que sigan, sabemos que una adopción conjunta es mucho más complicada pero vamos a intentarlo 🤗 Rex es un mestizo nacido aprox en 2019 y de unos 10kg. Chapi es bodeguero nacido aprox en 2021 y de unos 8kg. Son activos, super simpáticos y cariñosos. Saben pasear estupendamente con arnés. No testados con gatos. Se encuentran en Sevilla pero pueden viajar mediante transporte animalista dentro de la península 🚐 🐕 ‼️‼️SI ESTÁS INTERESADO EN DARLES UN HOGAR ESCRÍBENOS AL EMAIL 📧 losamigosdebingo@gmail.com Y TE INFORMAMOS DE TODO EL PROCESO DE ADOPCIÓN ‼️‼️",Activos y cariñosos,https://www.kiwoko.com/servicios/kiwokoadopta/images/profiles/pets/fb-img-1740304642591-67bdfe371f759190560287.jpg,https://www.kiwoko.com/servicios/kiwokoadopta/animal/perfil/sevilla/perro/macho/rex+y+chapi/10026
1004,SUKO,CRUCE LABRADOR,Macho,3.0,Mediano,Madrid,False,False,False,True,True,True,True,True,True,False,True,False,True,True,False,False,False,False,False,"SUKO es un cruce de labrador nacido en junio de 2022, joven y con muchas ganas de aprenderlo todo, de tamaño mediano, en busca de esa familia que le quiera para el resto de su vida y quiera convertirlo en uno mas de la familia. Es muy sociable con otros perros y algo tímido con las personas al principio, vete a saber como le habrán tratado, pero es noble, muy noble.",,https://www.kiwoko.com/servicios/kiwokoadopta/images/profiles/pets/prt-6644e73aa8918943116576.jpg,https://www.kiwoko.com/servicios/kiwokoadopta/animal/perfil/madrid/perro/macho/suko/1004
10059,León,Mestizo,Macho,5.0,Mediano,Córdoba,True,True,False,True,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,"LEÓN LLEVA 5 AÑOS EN EL REFUGIO 😔💔 Es uno de los más veteranos. Fue rescatado de un cortijo lleno de miedo, cuando era apenas un cachorro. Durante todo este tiempo en el refugio, estamos ayudándolo a que confíe en nosotros, pero es un hogar todo sería mucho más fácil. León pasa sus días escondido, sin salir de su chenil, sin querer vernos. Es desgarrador verlo así. Tiene unos 5 años y medio. Necesita un hogar tranquilo y a alguien especial, con paciencia, que le ayude a sanar. No dejemos que siga pasando los días en el chenil. Si quieres conocer más información sobre él, contáctanos! Contacto: 652976065 refugiosantaella@gmail.com","Se entrega con chip, pasaporte, vacunas correspondientes, desparasitación interior y exterior, con contrato de adopción y compromiso de castración. Contacto: 652976065 refugiosantaella@gmail.com",https://www.kiwoko.com/servicios/kiwokoadopta/images/profiles/pets/img-3422-68123ed574711414326876.jpeg,https://www.kiwoko.com/servicios/kiwokoadopta/animal/perfil/c%C3%B3rdoba/perro/macho/le%C3%B3n/10059
1006,TAHO,MESTIZO,Macho,3.0,Mediano,Madrid,False,False,False,True,True,True,True,True,True,False,True,False,True,False,False,False,True,False,False,"TAHO…creemos que su cara lo dice todo…”” llévame contigo””. Llego hace 6 meses, muerto de miedo y sin querer acercarse a nadie. Ya se ha recuperado, ahora es un perro seguro de si mismo y con muchas, muchísimas ganas de tener un hogar donde ser feliz el resto de su vida. Es muy sociable con otros perros, pero no es un pero para vivir en el centro de Madrid, necesita su espacio. Nacido en septiembre de 2021 y de tamaño mediano, será un esplendido compañero en cualquier hogar.",,https://www.kiwoko.com/servicios/kiwokoadopta/images/profiles/pets/prt-6644e9ee653da153127241.jpg,https://www.kiwoko.com/servicios/kiwokoadopta/animal/perfil/madrid/perro/macho/taho/1006
10092,Cholo,Cruce de bodeguero,Macho,2.0,Mediano,Córdoba,True,False,False,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,False,"Cholo es un perro muy cariñoso, tierno y juguetón. Tiene unos 2 años, es de tamaño mediano y busca un hogar donde pueda recibir mucho cariño. Si quieres conocer más información sobre él, contáctanos! Contacto: 652976065 refugiosantaella@gmail.com","Se entrega con chip, pasaporte, vacunas correspondientes, desparasitación interior y exterior, con contrato de adopción y compromiso de castración. Contacto: 652976065 refugiosantaella@gmail.com",https://www.kiwoko.com/servicios/kiwokoadopta/images/profiles/pets/092fecbb-0087-4f6b-8645-dfe92163258e-67c05e3e67be8482480045.jpeg,https://www.kiwoko.com/servicios/kiwokoadopta/animal/perfil/c%C3%B3rdoba/perro/macho/cholo+/10092
10098,DEXTER,X American Stafford,Macho,5.0,Gigante,Córdoba,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,"*DEXTER* Este guapetón necesita una familia de verdad, una que lo quiera y lo cuide para siempre. Es grande y su corazón lo es aún más. Si quieres adoptar, apadrinar o acoger a este bombón ponte en contacto con la protectora dejanhuella@gmail.com o contacta con nosotros en los teléfonos 608 53 69 79/ 633 26 17 87. Se encuentra en Montilla (Córdoba), pero se envía a cualquier provincia siempre que el transporte llegue a tu ciudad.","*DEXTER* Sexo: Macho Raza: X American Stafford Fecha de Nacimiento: 12.08.2019 Peso: aprox. 40kg Carácter: es cariñoso, sociable,muy bueno, le gusta jugar y pasear.",https://www.kiwoko.com/servicios/kiwokoadopta/images/profiles/pets/img-20250329-wa0010-67e7b7ff4f4aa193117498.jpg,https://www.kiwoko.com/servicios/kiwokoadopta/animal/perfil/c%C3%B3rdoba/perro/macho/dexter+/10098
10129,Ayna,Galgo Español,Hembra,1.0,Mediano,Jaén,True,False,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,False,"Ayna fue recogida hace unos días en mitad de la carretera. Tenía varias heridas por el cuerpo además de un estado grave de desnutrición que hacían que apenas pudiera moverse con normalidad. Tras ser recogida, la llevamos al veterinario y dio positivo en Leishmaniosis pero por suerte no es grave y solo necesitará Allopurinol de por vida. ¿Te animas a darle una oportunidad?",,https://www.kiwoko.com/servicios/kiwokoadopta/images/profiles/pets/imagen-de-whatsapp-2025-02-28-a-las-20-15-27-32a95035-67c20cbedfa95467426907.jpg,https://www.kiwoko.com/servicios/kiwokoadopta/animal/perfil/ja%C3%A9n/perro/hembra/ayna+/10129
10138,LORD,Mastín,Macho,7.0,Grande,Madrid,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,"Nos entristece mucho pensar que la vida de LORD se está pasando entre los patios y su chenil. Él no protesta, no se queja...; parece resignado a no tener una familia ni un hogar. Pero nosotras no nos resignamos, por eso queremos que mucha gente vea su cara de tristeza y conozca su historia. Es un perro de tamaño grande, 35-38 kgs, de carácter afable, amistoso, cariñoso y tranquilo. Además, se lleva bien con los demás perros del refugio. Todos los perros deberían tener una familia y un hogar, los grandes y ""maduros"" ¡ también ! Busca adopción responsable con contrato y seguimiento. Está en Córdoba pero busca adopción en otras provincias para tener más oportunidades. En caso de adopción puede viajar porque los adoptantes se desplacen o porque una empresa especializada realice el traslado. Si estáis interesados en su adopción, contactad sólamente, pulsando el botón ""quiero adoptar"" que aparece junto a esta difusión","Perro invisible, buenazo y tranquilo",https://www.kiwoko.com/servicios/kiwokoadopta/images/profiles/pets/img-20241105-wa0058-67c323d6a8963160005380.jpg,https://www.kiwoko.com/servicios/kiwokoadopta/animal/perfil/madrid/perro/macho/lord/10138
